id,类别,等级,名字,描述,基础威力,经验系数,修炼效果,运功效果,威力系数,修炼需求,攻击范围,伤害范围,使用特效,内力消耗,所属势力,使用目标,攻击架势,防御架势,召唤ID,使用次数,动作,子弹,特效,使用武器,伤害顺序,角色位移,Trail,隐藏
486,剑法,3,钟馗斩妖剑,仿照钟馗姿态所创之剑法，需以浑厚内劲驱动，其招式刚猛，劲道四射，足以令神鬼惊诧，群邪辟易,19,1,剑法潜力1;剑法1;经脉1,,经脉4;剑法2;内力0.1,剑法40;经脉35,"4,0,0","4,1,4",内伤0.1,21,5,0,胸12;头10,胸6;头6,,,skill1_1,,劈砍_黑白多重大-Target-Grid-Happen,剑,Same,FALSE,0,0
487,内功,4,龙虎金丹功,将周身内力汇聚丹田反复催动炼化，如龙虎相争，直至阴阳调和水火相济，便是金丹练成之时，功力亦突飞猛进,,1.2,内功潜力1;经脉潜力1;体质潜力1,生命上限50;内力上限150;内功15;经脉10;意志5;内劲0.06;调息0.06;抗耐药性0.04,,内功65;经脉50;意志35,,,,0,5,0,,,,,,,,,Same,FALSE,0,0
488,内功,4,冲虚神功,天师道隐匿于冲虚真经中的精妙内功法门，遵循天地含精，万物化生等自然之理，可令修习者祛病延年，功力大增,,1.3,内功潜力1;智力潜力2,生命上限90;内力上限110;内功10;经脉10;体质10;恢复0.06;雷电0.06;负面抗性0.03,,内功60;智力55;经脉45,,,,0,5,0,,,,,,,,,Same,FALSE,0,0
489,轻功,4,万里神行,茅山独门轻功，需双腿肌肉放松，完全以内劲驱动腿脚。因而不损耗体力，内息越深厚者其奔行速度越快，耐力越久,,1,轻功潜力2;轻功1;意志1,轻功10;智力10;经脉10;速度0.06;蓄力0.06,,轻功60;意志45;智力30,,,,0,5,0,,,,,,,,,Same,FALSE,0,0
490,绝技,4,三华聚顶,将精气神混合为一，并凝聚于头顶玄关一窍的道家绝妙法门，功成者可革故鼎新，脱胎换骨，心神进入圣明境界,,1.2,绝技潜力2;绝技1;智力1,绝技6;智力12;意志12;醒脑0.06;护体真气0.12;负面抗性0.04,,绝技60;智力50;意志30,,,,0,5,0,,,,,,,,,Same,FALSE,0,0
491,奇门,4,三昧真火,将炎热内息注入他人体内之咒术，可令其气血烧灼，五内俱焚，甚至周身衣物也会起火，观者无不惊惧万分,21,1,奇门潜力1;智力潜力1;奇门1;智力1,,智力3;奇门3;内力0.2,奇门55;智力50,"0,1,2","0,0,1",内伤0.06;灼烧0.12,26,5,0,胸10;腹10,,,,skill1_1,,火焰-Target-Grid-Happen,,Distance,FALSE,0,0
492,奇门,4,神兵天将咒,至阳至刚之防御咒法，功力催至顶峰时周身金光外泄，好似天兵天将神力加持，寻常兵刃不能伤其分毫,-8,0.9,体质潜力2;奇门1;体质1,,体质0.2;奇门0.2;内力0.03;医术0.1,奇门55;体质40,"1,0,1","0,0,0",无敌0.2,20,5,1,,,,,skill0_2,,激励-Target-Hip-Happen,,Same,FALSE,0,0
493,奇门,4,斗煞藏魂符,专以内息攻敌心神的茅山咒术，意志柔弱者一旦中招，或丧魂失魄，或狂舞乱癫，久久不能清醒,10,1,奇门潜力1;意志潜力1;奇门1;意志1,,意志2;奇门4;内力0.2,奇门60;意志45,"0,1,2","0,0,0",混乱0.1;定身0.1;雷电0.1,22,5,0,头10;心10,,,,skill0_2,,符纸上升-Target-Grid-Happen;鲜血狂乱-Target-Grid-Happen,,Same,FALSE,0,0
494,剑法,4,玄真剑气,茅山道剑最高境界，可化虚为实，化气为剑，在剑锋形成三尺白芒，吹毛立断，削铁如泥，江湖中罕有人敢撄其锋芒,22,1.1,经脉潜力1;剑法2;经脉2,,经脉4;剑法1;内力0.4,剑法45;经脉60,"4,0,0","4,2,5",内劲0.12,28,5,0,胸12;头11,胸10;头4,,,skill1_0,,天罚-Target-Grid-Happen;真气喷-Target-Grid-Happen,剑,Distance,FALSE,0,0
495,绝技,5,遁甲天书,茅山派不传之秘，能预测吉凶，卜算未来，中者十有八九。但因泄露天机，传说滥用此术者大多死于非命,,1.2,绝技潜力1;智力潜力2;经脉潜力1,绝技12;智力12;经脉12;雷电0.05;震脑0.05;斗转0.05,,绝技75;经脉65;智力55,,,,0,5,0,,,,,,,,,Same,FALSE,0,0
496,奇门,5,天劫九重,传说茅山祖师抱朴子曾因泄露天机遭五雷轰顶，以深厚修为方才保全性命，并领悟了这一以内息引动天雷的无上法门,25,1,奇门潜力2;意志潜力2,,智力2;意志4;奇门2;内力0.2,奇门75;智力60;意志45,"0,1,3","3,0,1",雷电0.08;内劲0.08;动摇0.04,35,5,0,头14;胸10;腹6,头5;胸4;腹3,,,skill1_1,,雷击-Target-Grid-Happen;雷球-Target-Grid-Happen,,Same,FALSE,0,0
497,内功,0,打铁功,铸剑山庄新晋弟子皆需从事最苦最累的打铁工作，不仅可吓退意志薄弱者，也能锻炼外力与内劲之根基,,0.9,内功1,生命上限30;内力上限10;内功4;力道4;装备强化0.08;装备负重2,,内功5;力道5,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
498,轻功,0,木屐步,需穿着木鞋训练的轻功，以灵巧见长,,0.8,轻功1,轻功4;灵巧6;速度0.02,,轻功5,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
499,绝技,0,木甲百重,配合木制盔甲训练的硬功，适合初学者,,1,绝技1,体质3;护甲3;装备强化0.02;装备负重4,,绝技10,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
500,剑法,0,寒泉剑法,铸剑山庄旁有寒泉一眼，此剑法以此得名，其招式简洁明快，如同清泉奔流,10,0.9,剑法1,,灵巧1;剑法2;内力0.2,剑法5;灵巧5,"4,0,0","4,1,2",连击0.04,4,6,0,胸15,胸10,,,skill1_1,,水滴-Target-Grid-Happen,剑,Same,FALSE,0,0
501,剑法,0,鱼肠剑法,专诸刺吴王僚所使之剑法，以刺击招式为主，近身肉搏之时颇有几分险意,12,1,剑法1,,剑法3;内力0.1,剑法10,"1,1,1","0,0,0",穿甲0.02,5,6,0,腹18,腹4,,,skill1_0,,劈砍_多重小-Target-Grid-Happen,剑,Same,FALSE,0,0
502,刀法,0,宰鸡牛刀,铸剑弟子在庖厨中修习之刀法，以牛刀宰杀活鸡，切分鸡肉，专练手部力道和掌腕控制力,9,0.8,刀法1,,力道1;灵巧1;刀法2,力道5;灵巧5,"0,1,1","0,0,0",破招0.03;流血0.03,3,6,0,头14,头11,,,skill2_0,,爪痕-Target-Grid-Happen,刀,Same,FALSE,0,0
503,内功,1,百炼功,铸剑山庄基础心法，如同打铁一般撞击锤炼丹田内息的功法，需运功百次方能练成,,0.9,内功1;力道1,生命上限60;内力上限20;内功6;力道6;装备强化0.06;坚毅0.03;装备负重3,,内功10;力道10,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
504,轻功,1,铁履功,需穿着铁鞋训练的轻功，虽不甚灵敏但以防御见长,,0.9,轻功1;体质1,轻功2;体质6;护甲2;横练0.04;装备负重6,,轻功10;体质10,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
505,绝技,1,双剑合璧,铸剑山庄绝技，练成后可同时使用两把武器，左右开弓，令敌人应接不暇,,1.1,绝技1;灵巧1,剑法6;灵巧6;连击0.06;装备负重2,,绝技15;灵巧15;剑法15,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
506,剑法,1,青釭剑法,以攻代守，灵巧锐利的剑法招式，铸剑低级弟子常以此功试剑,11,1,剑法1;灵巧1,,灵巧2;剑法2;内力0.2,剑法15;灵巧10,"4,0,0","4,1,3",穿甲0.06,6,6,0,胸17,胸12,,,skill1_0,,气流-Target-Grid-Happen,剑,Same,FALSE,0,0
507,剑法,1,胜邪剑法,招式中透露着邪气的剑法，每挥出一招，剑上邪气便更胜一分，故而得名,13,1.1,剑法1;体质1,,剑法4;内力0.1,剑法20,"3,1,1","3,0,1",坚毅0.04,10,6,0,腹20,腹3,,,skill1_1,,黑焰-Target-Grid-Happen,剑,Same,FALSE,0,0
508,刀法,1,乱麻刀法,招式快速连绵之刀法，乱中有序，序中有乱，形意多变，令敌人烦扰不堪,12,1.1,刀法1;力道1,,力道1;刀法3,刀法15;力道15,"4,0,0","5,1,2",连击0.06,8,6,0,足18,足9,,,skill2_1,,乱斩-Target-Grid-Happen,刀,Same,FALSE,0,0
509,内功,2,千锤功,铸剑山庄进阶心法，如同打铁一般撞击锤炼丹田内息的功法，需运功千次方能练成,,1,内功2;力道1,生命上限90;内力上限30;内功9;力道9;横练0.04;装备强化0.08;装备负重4,,内功25;力道25,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
510,轻功,2,名山寻路,铸剑弟子常需遍访名山，寻找可用木材矿藏，此步法轻盈若风，行山路如履平地，可大大加快搜寻效率,,0.9,轻功2;灵巧1,轻功8;灵巧8;速度0.06;坚毅0.06,,轻功25;灵巧20,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
511,绝技,2,铁甲千重,配合铁制盔甲训练的硬功，在合适时机以合适姿态迎击敌人，可令甲胄防御能力倍增,,1,绝技2;体质1,绝技8;体质8;护甲4;装备强化0.04;装备负重8,,绝技30;体质20,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
512,剑法,2,巨阙重剑,劲势刚猛，以力道取胜的重剑剑法，传说越王勾践曾以此一招劈斩马车为两半，足见其威力,16,1,剑法2;力道1,,力道3;剑法2;内力0.1,剑法30;力道20,"2,1,1","0,0,1",破甲0.04;横练0.04,14,6,0,头12;胸6,头3;胸9,,,skill1_1,,地面打击2-Target-Grid-Happen,剑,Same,FALSE,0,0
513,剑法,2,承影剑法,以高速舞剑，使剑刃模糊不清难以辨认之法，对敌之人需要观察剑柄指向，方能判断其走势,14,0.9,剑法潜力1;体质1,,剑法4;内力0.2,剑法25;体质15,"4,0,0","5,1,2",连击0.08,13,6,0,心9;腹9,心8;腹6,,,skill1_0,,羽毛-Target-Grid-Happen;三连剑影小-Target-Grid-Happen,剑,Same,FALSE,0,0
514,刀法,2,庖丁解牛刀,对于防御严密之敌，如庖丁解牛般从薄弱处下手，攻击盔甲接缝处和守招死角处的刀招，对手法精准度要求很高,15,1.1,刀法2;灵巧1,,灵巧4;刀法2,刀法30;灵巧25,"0,1,1","0,0,1",穿甲0.04;破招0.04,12,6,0,心8;腹12,心9;腹2,,,skill2_0,,劈砍_蓝裂地-Target-Grid-Happen,刀,Same,FALSE,0,0
515,内功,3,炉火纯青功,逐渐加热内息之法，其真气形同炉火，先黑浊，后黄白，再青白，最终化为纯青，乃是功法纯熟，至阳至热之象征,,1,内功潜力1;内功1;力道1,生命上限120;内力上限40;内功12;力道12;坚毅0.04;横练0.04;装备强化0.1;装备负重5,,内功40;力道35,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
516,轻功,3,踏破铁鞋功,穿一双特制重型铁鞋，不断蹬踏地面的苦修之法，能锻炼腿部劲道与下盘之稳固，直至铁鞋碎裂方为功成,,1,轻功潜力1;轻功1;体质1,轻功12;体质12;护甲5;坚毅0.05;装备负重5,,轻功45;体质30,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
517,绝技,3,百剑穿心,铸剑山庄秘传绝技，练成后可同时使用三把武器，切换迅捷，上下翻飞，如同百刃出击,,1.1,绝技潜力1;绝技1;灵巧1,剑法12;灵巧12;连击0.1;装备负重3,,绝技35;灵巧25;剑法45,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
518,剑法,3,破军剑法,攻击范围和威力都不俗的剑法，其所过之处，草木催折，兵甲披靡，堪称可于万军丛中取上将首级,17,0.9,剑法潜力1;剑法1;灵巧1,,灵巧3;剑法3;内力0.1,剑法45;灵巧30,"2,1,2","0,0,1",破甲0.05;坚毅0.05,15,6,0,足10;胸14,足4;胸6,,,skill1_1,,碎地-Target-Grid-Happen,剑,Same,FALSE,0,0
519,剑法,3,干将莫邪剑,取上古名剑之名，以雌雄双剑所使出的剑法，一攻一守，一进一退，双剑配合完美，亲密无间，如生灵性一般,16,1,力道潜力1;灵巧潜力1,,灵巧1;剑法4;内力0.2,剑法50;灵巧25,"2,1,2","7,0,0",连击0.05;阻滞0.05,16,6,0,心10;腹10,心8;腹8,,,skill1_2,,圆斩-Target-Grid-Start;墨劈-Target-Grid-Happen,剑,Same,FALSE,0,0
520,刀法,3,分金刀术,专为劈砍重型甲盾所创，结合强悍力道与刀刃特性的精妙劈砍法门，可斩人无血，削铁如泥,18,1.1,刀法潜力1;刀法1;力道1,,力道3;刀法3,刀法45;力道35,"4,0,0","4,1,3",穿甲0.1,18,6,0,头16;腹6,头8;腹4,,,skill2_1,,金刚-Target-Grid-Happen;劈砍_黄裂地-Target-Grid-Happen,刀,Same,FALSE,0,0
521,绝技,4,万剑奇功,铸剑山庄兵械绝技之首，练成后可同时使用四把武器，长短交接，软硬兼施，如同万刃齐发,,1.2,力道潜力2;剑法1;灵巧1,剑法15;灵巧15;破招0.06;连击0.06;装备负重10,,绝技50;灵巧45;剑法65,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
522,绝技,4,金甲万重,铸剑山庄甲胄硬功之首，配合庄内锻造之重甲，反震之力极大，寻常兵刃触之立折，可谓一夫当关，万夫莫开,,1,绝技潜力2;绝技1;体质1,绝技6;体质14;护甲6;横练0.05;装备强化0.15;装备负重5,,绝技60;体质45,,,,0,6,0,,,,,,,,,Same,FALSE,0,0
523,剑法,4,赤霄斩蛇剑,传说乃汉高祖刘邦斩白蛇之剑法，势若长虹，锋锐无匹，其剑气化为一道赤练激射而出，可斩尽天下不祥之物,21,0.9,剑法潜力2;剑法1;灵巧1,,灵巧4;剑法3;内力0.1,剑法55;灵巧50,"4,0,0","4,1,4",穿甲0.06;破招0.06,21,6,0,头14;胸10,头7;胸7,,,skill1_1,,血龙卷-Target-Grid-Start;血斩-Target-Grid-Happen,剑,Same,FALSE,0,0
524,剑法,4,含光无形剑,将剑速舞至极致，整柄剑在手中只剩些微反光和残影，仿若无形无影无声无息之剑，此后或攻或守，自然诡谲莫测，招法难辨,20,1,灵巧潜力2;力道潜力1,,灵巧1;剑法5;内力0.2,剑法65;灵巧40,"2,1,3","0,0,1",连击0.12,19,6,0,心13;腹9,心10;腹6,,,skill1_0,,雷暴-Target-Grid-Happen;极速剑影-Target-Grid-Happen,剑,Same,FALSE,0,0
525,刀法,4,屠龙要术,战国奇人支离益为斩杀梦中蛟龙所创，然终其一生未得使用，铸剑后人将之改成了绝妙的刀法，每招每式均属世间罕见,22,1.1,刀法潜力2;刀法1;力道1,,力道3;刀法4,刀法60;力道50,"2,1,3","3,0,1",真伤0.08;破甲0.08,20,6,0,头8;腹18,头2;腹8,,,skill2_1,,腾龙-Target-Grid-Start;劈砍_黑白多重大-Target-Grid-Happen,刀,Same,FALSE,0,0
526,剑法,5,无尽剑意,铸剑祖师欧治子感应剑池中万柄废弃刀剑之意，终苦思而成一没有剑招只有剑意的神妙剑法，剑未动，意已发，剑有尽，意无穷,19,1.1,剑法潜力2;力道潜力1;灵巧潜力1,,灵巧3;力道1;剑法3;刀法1,剑法80;灵巧60;力道50,"0,1,3","7,0,0",连击0.1;穿甲0.1;破招0.1,23,6,0,心10;胸6;腹8,心5;胸5;腹5,,,skill1_1,,剑影大-Target-Grid-Happen,剑,Random,TRUE,0,0
527,内功,0,引蛇术,以内息催动五毒教特制香药，吸引并抓捕毒蛇之法，乃毒功入门,,1,内功1,生命上限10;内力上限20;内功2;经脉2;毒术6;毒素0.04;负面加成0.02,,毒术10,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
528,轻功,0,泥鳅功,模仿泥鳅身形，柔软滑腻，躲避攻击之轻功,,0.9,轻功1,轻功2;意志2;闪避0.08,,轻功10,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
529,绝技,0,迷虫香,五毒教特制迷香，用于吸引捕捉蛛蝎蛇蟾等毒虫，作为炼制毒药之原料,,0.8,绝技1,绝技3;智力3;毒术3;毒素0.04;负面加成0.02,,绝技5;毒术5,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
530,拳掌,0,蓝砂手,用手掌反复拍打蓝色毒砂，直至皮肤微微发蓝，此后掌力便带有冰寒之毒性,11,1,拳掌1,,意志1;拳掌1;内力0.3,拳掌10,"1,1,1","0,0,0",冰寒0.06,6,7,0,腹16,腹8,,,skill0_0,,蓝火-Target-Grid-Happen,拳,Same,FALSE,0,0
531,拳掌,0,五毒掌,五毒教入门掌法，招式平平无奇，专以掌心和手腕间所藏之毒粉伤人,10,0.9,毒术1,,经脉2;拳掌1;毒术1,拳掌5;毒术5,"4,0,0","4,1,2",毒素0.03;不愈0.03,5,7,0,心15,心10,,,skill0_1,,紫雾-Target-Grid-Happen,拳,Same,FALSE,0,0
532,射术,0,朱蟾砂,将朱蟾之毒附于铁砂之上，临敌掷出，可令人痛痒难当，目不能视,8,0.9,射术1,,智力2;射术2;毒术2,毒术10,"0,1,1","1,0,1",目盲0.08,2,7,0,头20,头2,,,skill5_0,11-----0.85,血雾-Target-Grid-Happen,,Distance,FALSE,0,0
533,射术,0,五毒针,五毒教低级弟子常用，淬有五种常见毒质之钢针,9,0.9,射术1,,灵巧1;射术2;内力0.1,射术5,"0,2,3","0,0,0",毒素0.05,3,7,0,头16,头7,,,skill5_1,5-----0.8,墨染-Target-Grid-Happen,,Same,FALSE,0,0
534,奇门,0,泥鳅蛊,五毒教制蛊入门之法，以泥鳅和五毒泡制而成，被咬中者体内如泥鳅乱窜，百爪挠心，坐卧难安,6,1.1,奇门1,,意志1;奇门2;毒术2,奇门10;毒术10,"0,1,1","0,0,0",虚弱0.1,4,7,0,头10,,,,skill0_2,,墨烟-Target-Grid-Happen,,Same,FALSE,0,0
535,内功,1,腐尸功,为江湖人士所禁忌的功法，需配合腐尸之毒修炼而成，对修炼者的毒功和意志均是一种考验,,1.2,内功1;经脉1,生命上限20;内力上限40;内功6;经脉6;毒术3;毒素0.06;负面加成0.04,,内功10;经脉15;毒术15,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
536,轻功,1,蛇行步,模仿蛇行蜿蜒移动之步法，更容易躲避攻击,,0.9,轻功1;意志1,轻功4;意志4;闪避0.1,,轻功15;意志10,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
537,绝技,1,炼蛊术,苗疆秘术，取各种毒虫置于一器内，任其自相啖食，待独存一物者谓之为蛊，能幻化变形，为人患祸,,1,绝技1;智力1,绝技4;智力4;毒术4;毒素0.06;负面加成0.03,,绝技10;智力10;毒术10,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
538,拳掌,1,金蛇缠丝手,柔弱无骨，顺势攀附之奇特手法，可沿敌人手臂缠绕而上，攻其心腹要害,9,1.1,拳掌1;意志1,,意志1;拳掌2;内力0.2,拳掌15;意志10,"0,1,2","0,0,0",手臂点穴0.08,7,7,0,手18,手12,,,skill0_1,,旋风-Target-Grid-Start;网缠-Target-Grid-Happen,拳,Same,FALSE,0,0
539,拳掌,1,灵蛇拳,模仿毒蛇进攻动作的拳法，施展时手臂可弯曲至超乎常理之角度，灵活婉转，柔中带刚,11,1,拳掌1;经脉1,,经脉2;拳掌2;内力0.1,拳掌10;经脉15,"4,0,0","4,1,2",腰腹点穴0.06,11,7,0,腹17,腹11,,,skill0_0,,蛇头-Target-Grid-Start;打击6-Target-Grid-Happen,拳,Same,FALSE,0,0
540,射术,1,腐尸毒,发射腐尸之毒的邪道手法，命中者皮肤溃烂，痛苦难当,12,0.9,毒术1;智力1,,智力1;射术1;毒术3,射术10;毒术15,"0,1,1","0,0,1",毒素0.06;不愈0.04,8,7,0,心21,心4,,,skill5_0,11-----0.95,毒雾-Target-Grid-Happen,,Distance,FALSE,0,0
541,射术,1,碧磷针,在夜间会散发幽幽绿光的粹毒银针，激射而出时如鬼火燎人,13,0.9,射术1;灵巧1,,灵巧2;射术1;毒术2,射术15;灵巧15;毒术5,"0,3,4","0,0,0",灼烧0.06,9,7,0,腹19,腹6,,,skill5_1,5-----0.9,毒素-Target-Grid-Happen,,Same,FALSE,0,0
542,奇门,1,阴蛇蛊,此蛊虫状如小蛇，阴寒至极，能够钻入目标体内顺血脉而行，阻塞内息，啮咬内脏,10,1.1,奇门1;意志1,,意志2;奇门2;毒术1,奇门15;意志10;毒术10,"0,1,1","0,0,0",迟缓0.04;冰寒0.04,10,7,0,头8,,,,skill0_2,,蛇头-Target-Grid-Happen,,Same,FALSE,0,0
543,内功,2,五仙真灵诀,将毒素融入体内真气的五仙秘术，运功后内息带有些许毒性，与五仙教毒功结合使用可谓事半功倍,,1,内功2;经脉1,生命上限30;内力上限60;内功8;经脉8;毒术8;毒素0.08;负面加成0.02,,内功25;经脉20;毒术30,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
544,轻功,2,蛤蟆纵跳,身形蹲伏如蛤蟆，随后发力弹跳之法，虽不甚雅观，但可一跃而出数丈距离，苗疆人士多有使用,,0.8,轻功2;灵巧1,轻功8;灵巧8;急速0.06;闪避0.04,,轻功25;灵巧25,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
545,绝技,2,迷魂息,从口中喷吐能迷惑人心神的毒雾之绝技，中者丧魂失魄，精神萎靡，苗疆女子有时会用此法对付中意之男子,,1.1,绝技2;意志1,绝技6;意志8;毒术6;混乱0.08;负面加成0.04,,绝技25;意志20;毒术25,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
546,拳掌,2,三尸蜈蚣爪,五指柔韧灵活，如百足蜈蚣在敌人周身攀爬游移，所过之处皆留黑紫印记，不多时便会溃烂化脓，颇为狠毒,15,1.1,拳掌2;意志1,,意志2;拳掌2;毒术2,拳掌30;意志20;毒术20,"0,1,1","7,0,0",毒素0.08,17,7,0,手8;心14,手6;心3,,,skill0_0,,毒雾-Target-Grid-Happen;爪痕-Target-Grid-Happen,拳,Same,FALSE,0,0
547,拳掌,2,化骨绵掌,专攻筋骨关节处的掌法，中掌者初觉无甚大碍，待出手时才发觉自身筋骨已断裂受损，可见其内劲之阴柔歹毒,14,1,毒术2;经脉1,,经脉3;拳掌2;内力0.1,拳掌25;经脉25,"4,0,0","4,1,2",断骨0.03;伤筋0.03;截脉0.03,16,7,0,手12;腹8,手4;腹8,,,skill0_1,,喷毒-Target-Grid-Happen,拳,Same,FALSE,0,0
548,射术,2,断魂砂,细密的粹毒铁砂，射程较短但范围较大，随手一挥便能形成一片黑色烟雾，不甚沾染或吸入者立感痛痒难当,6,0.9,毒术2;智力1,,智力1;射术1;毒术4,射术20;智力15;毒术30,"3,1,1","0,0,1",毒素0.1;目盲0.06,12,7,0,头18;胸6,头2;胸2,,,skill5_0,11-----1.05,黑爆-Target-Grid-Happen,,Distance,FALSE,0,0
549,射术,2,饮血针,此针中空，内敷有阻止伤口闭合的毒药，若能命中要害，则立时血如泉涌，如不及时医治，难免气血流尽而亡,8,0.9,射术2;灵巧1,,灵巧3;射术1;内力0.2,射术30;灵巧15,"0,3,4","0,0,0",流血0.16;不愈0.08,11,7,0,心12;腹10,心2;腹4,,,skill5_1,4-----1.1,喷血-Target-Grid-Happen,,Same,FALSE,0,0
550,奇门,2,狂癫蛊,此蛊虫使人神智癫狂，喜怒无常，出现身边之人正密谋加害自己的幻觉，因而时常敌我不分，乱砍一气,12,1.1,奇门2;意志1,,意志2;奇门1;毒术3,奇门25;意志20;毒术25,"0,1,1","0,0,0",混乱0.12,15,7,0,头13,,,,skill0_2,,诅咒-Target-Grid-Happen;墨乱-Target-Grid-Happen,,Same,FALSE,0,0
551,内功,3,天蚕吐丝功,此毒功劲道细如蚕丝，绵绵不绝，能在不知不觉间将毒素侵入敌人经脉，待其惊觉之时，往往已无药可医也,,1.1,内功潜力1;内功1;经脉1,生命上限20;内力上限100;内功12;经脉12;毒术4;毒素0.04;定身0.04;负面加成0.04,,内功40;经脉25;毒术40,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
552,轻功,3,蜈蚣遁地术,双腿摆动迅捷，更兼指掌攀援的奇特轻功，登山越险，见缝插针，上树游墙，如履平地,,0.9,轻功潜力1;轻功1;意志1,轻功12;意志12;闪避0.05;乱神0.05,,轻功45;意志25,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
553,绝技,3,摄魂大法,结合毒烟迷雾，传音催眠和邪门真气等法，使心智不坚定者困惑迷狂，坠入幻境的五毒教奇门秘法,,1,绝技潜力1;绝技1;智力1,绝技8;智力10;毒术8;毒素0.04;混乱0.06;负面加成0.04,,绝技35;智力30;毒术45,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
554,拳掌,3,千蛛万毒手,驱使斑斓花蛛吸食自身血液，同时将蛛毒缓缓引入体内的奇功，出手时毒素聚集指尖，皮肤也会变得五彩斑斓，诡异莫名，触之者立中奇毒,18,1.2,拳掌潜力1;拳掌1;意志1,,意志2;拳掌2;毒术3,拳掌40;意志35;毒术40,"1,1,1","0,0,0",毒素0.1;不愈0.06,18,7,0,手15;胸6,手9;胸4,,,skill0_0,,墨染-Target-Grid-Happen;血爪卷-Target-Grid-Happen,拳,Same,FALSE,0,0
555,拳掌,3,赤炼神掌,含有五毒教奇门热毒的掌法，命中后会留下鲜红色掌印，此热毒入体会使人血脉膨胀，五内俱焚，功力孱弱者更是自燃当场,16,1,毒术潜力1;毒术1;经脉1,,经脉3;拳掌3;内力0.1,拳掌45;经脉30;毒术25,"4,0,0","4,1,3",毒素0.04;迟缓0.1,19,7,0,心14;腹9,心7;腹6,,,skill0_1,,爆血迹-Target-Grid-Happen,拳,Same,FALSE,0,0
556,射术,3,孟婆散,可迅速麻痹心脉大脑之五毒教特制迷药，中者如饮孟婆汤般，迷离惝恍，神情恍惚，乃至当场昏迷不醒，丧失记忆,10,0.9,毒术潜力1;毒术1;智力1,,智力2;射术1;毒术4,射术35;智力25;毒术45,"2,1,2","0,0,1",毒素0.08;震脑0.06;混乱0.06,14,7,0,头18;心8,头3;心1,,,skill5_0,11-----1.15,毒素-Target-Grid-Happen,,Distance,FALSE,0,0
557,射术,3,赤炼神针,含有五毒教奇门热毒的暗器，命中后会留下鲜红色针印，此热毒入体会使人血脉膨胀，五内俱焚，功力孱弱者更是自燃当场,14,1.1,射术潜力1;射术1;灵巧1,,灵巧3;射术2;内力0.2,射术45;灵巧30;毒术30,"0,2,4","0,0,0",灼烧0.08;流血0.08,16,7,0,心12;腹14,心2;腹4,,,skill5_1,5-----1.1,火焰爆发-Target-Grid-Happen,,Same,FALSE,0,0
558,奇门,3,情花蛊,以女子心血和奇花饲养而成，中此毒者欲出手伤人之时，便感周身绵软，心如刀绞，好像要杀害至爱之人一般,12,1.1,奇门潜力1;奇门1;意志1,,意志2;奇门3;毒术2,奇门40;意志35;毒术35,"0,1,2","0,0,0",虚弱0.1;乱神0.06,20,7,0,头18,,,,skill0_2,,诅咒-Target-Grid-Happen;红花-Target-Grid-Happen,,Same,FALSE,0,0
559,内功,4,五毒魔功,五毒教至高内功心法，将五种剧毒融入经脉运行中，真气因而呈现出赤黄青紫黑五色，其周身肌肤与举手投足间无不暗含剧毒,,1.1,毒术潜力1;内功潜力1;内功1;经脉1,生命上限80;内力上限80;内功15;经脉15;毒术10;毒素0.06;混乱0.04;负面加成0.03,,内功50;经脉50;毒术60,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
560,轻功,4,天蛇诡步,传说苗疆毒沼中有背生翅膀之异蛇，五毒高人有幸得见而创此功，其身形缥缈诡谲，去势叵测，上天入地，浮游深潜皆易如反掌,,1.1,轻功潜力2;轻功1;意志1,轻功10;灵巧10;意志10;乱神0.04;目盲0.04;虚弱0.04,,轻功60;灵巧50;意志30,,,,0,7,0,,,,,,,,,Same,FALSE,0,0
